ORIGINOWNERID,GENERALCAUSE,SPECIFICCAUSE,ORIGINSLOPE,ORIGINASPECT,ORIGINELEVATION,ORIGINTOWNSHIP,ORIGINRANGE,ORIGINSECTION,ORIGINMERIDIAN,PRIMARYFUELTYPE,FALSEALARM,WFUFIRE,FIRECAUSE
Private,Debris Burning,Open Trash Burn,0-25,N,0-500,005S,014W,32,Seward,Other,N,N,Human
DOD,Human,Lightning,0-25,Flat,1501-2500,012S,011E,4,Fairbanks,Black Spruce,N,N,?
State,False Alarm,,0-25,S,0-500,016N,005E,30,Seward,Unknown,Y,N,False Alarm
Private,Campfire,Campfire,41-55,S,501-1500,011N,002W,19,Seward,Grass,N,N,Human
Private,Debris Burning,Land Clearing,0-25,W,0-500,005N,010W,24,Seward,Other,N,N,Human
State,Human,Human,0-25,SW,1501-2500,004N,001W,19,Copper River,Grass,N,N,?
DOD,Human,Human,0-25,Flat,0501-1500,010S,007E,26,Fairbanks,Unknown,N,N,Human
State,Prescribed,,26-40,NW,501-1500,001N,001E,4,Fairbanks,Mixed (Hardwoods/Softwoods),N,N,Prescribed
USFWS,Prescribed,,Unknown,Unknown,Unknown,008N,007W,21,Seward,Unknown,N,N,Prescribed
DOD,Prescribed,Prescribed,0-25,Flat,0501-1500,011S,011E,6,Fairbanks,Grass,N,N,Prescribed
Private,Campfire,Campfire,0-25,W,0-500,005N,011W,30,Seward,Grass,N,N,Human
Private,Debris Burning,Open Trash Burn,0-25,NE,0-500,018N,002W,36,Seward,Other,N,N,Human
Private,Incendiary,Incendiary,0-25,W,0-500,017N,001W,21,Seward,Grass,N,N,Human
Private,Debris Burning,Open Trash Burn,0-25,S,0-500,018N,002E,20,Seward,Grass,N,N,Human
DOD,Prescribed,Prescribed,0-25,Flat,1501-2500,012S,009E,36,Fairbanks,Grass,N,N,Prescribed
Private,Debris Burning,Open Trash Burn,0-25,N,0-500,018N,001E,26,Seward,Grass,N,N,Human
DOD,Prescribed,Prescribed,0-25,Flat,0501-1500,011S,010E,15,Fairbanks,Grass,N,N,Prescribed
Private,Human,Human,0-25,Flat,0-500,017N,001E,17,Seward,Grass,N,N,?
Private,Debris Burning,Open Trash Burn,0-25,S,0-500,018N,001W,35,Seward,Grass,N,N,Human
Private,Debris Burning,Burn Barrels,0-25,NE,0-500,018N,002W,36,Seward,Grass,N,N,Human
DOD,Human,Incendiary,0-25,Flat,1501-2500,011S,009E,28,Fairbanks,Tussock,N,N,Human
DOD,Human,Human,0-25,Flat,1501-2500,012S,010E,6,Fairbanks,Unknown,N,N,Human
DOD,Human,Incendiary,0-25,Flat,0501-1500,011S,010E,29,Fairbanks,Tussock,N,N,Human
USFS,Prescribed,,0-25,Flat,501-1500,,,,,Other,N,N,Prescribed
NPS,False Alarm,False Alarm,0-25,Flat,1501-2500,014S,007W,15,Fairbanks,Grass,Y,N,False Alarm
ANCSA,Campfire,Campfire,0-25,Flat,1501-2500,016N,015E,27,Copper River,Black Spruce,N,N,Human
Private,Prescribed,,0-25,Flat,0-500,9n,2w,10,,Unknown,N,N,Prescribed
BIA,Campfire,Campfire,0-25,S,1501-2500,017N,017E,32,Copper River,Black Spruce,N,N,Human
Private,Miscellaneous,Structure,0-25,N,1501-2500,018N,013E,19,Copper River,Black Spruce,N,N,Human
State,Human,Campfire,0-25,Flat,0-500,009S,016W,27,Fairbanks,Black Spruce,N,N,Human
State,Campfire,Campfire,0-25,NE,0-500,017N,003W,16,Seward,Other,N,N,Human
ANCSA,Campfire,Campfire,0-25,NE,501-1500,004S,007E,28,Copper River,Other,N,N,Human
USFS,Campfire,Campfire,0-25,Flat,0-500,8n,1e,15,Seward,Other,N,N,Human
State,Human,Human,0-25,S,501-1500,023N,014W,28,Seward,Mixed (Hardwoods/Softwoods),N,N,?
State,Equipment,Other,0-25,E,0-500,017N,004W,23,Seward,Grass,N,N,Human
County,Campfire,Campfire,0-25,NE,0-500,10n,2e,4,,Mixed (Hardwoods/Softwoods),N,N,Human
ANCSA,Campfire,Campfire,26-40,W,1501-2500,019N,005E,16,Seward,Mixed (Hardwoods/Softwoods),N,N,Human
ANCSA,Miscellaneous,Structure,0-25,N,0-500,002S,012W,10,Seward,Grass,N,N,Human
Private,Debris Burning,Open Trash Burn,0-25,N,0-500,017N,003W,22,Seward,Other,N,N,Human
Private,Miscellaneous,Powerline,0-25,S,1501-2500,018N,012E,25,Copper River,Black Spruce,N,N,Human
State,False Alarm,,0-25,N,1501-2500,005N,001W,31,Copper River,Unknown,Y,N,False Alarm
State,Equipment,Engine Heat,0-25,NW,0-500,018N,004W,36,Seward,Grass,N,N,Human
County,Equipment,Exhaust,0-25,NW,0-500,022N,004W,5,Seward,Grass,N,N,Human
Private,Miscellaneous,Powerline,0-25,NE,1501-2500,018N,012E,15,Copper River,Black Spruce,N,N,Human
ANCSA,Miscellaneous,Powerline,0-25,NW,0-500,029S,019W,34,Seward,Other,N,N,Human
Private,Miscellaneous,Powerline,0-25,SW,0-500,019N,004W,17,Seward,Mixed (Hardwoods/Softwoods),N,N,Human
Private,Equipment,Vehicle Fire,0-25,SW,0-500,017N,002W,23,Seward,Grass,N,N,Human
Private,Miscellaneous,Powerline,0-25,Flat,0-500,007N,012W,13,Seward,Black Spruce,N,N,Human
Private,Debris Burning,Burn Barrels,0-25,Flat,0-500,002N,012W,21,Seward,Other,N,N,Human
State,Equipment,Aircraft,0-25,Flat,0-500,003N,012W,33,Seward,Black Spruce,N,N,Human
State,Campfire,Campfire,0-25,SW,0-500,015N,006W,36,Seward,Grass,N,N,Human
City,Equipment,Exhaust,0-25,Flat,0-500,005N,010W,33,Seward,Other,N,N,Human
State,Campfire,Campfire,26-40,N,0-500,011N,003W,25,Seward,Other,N,N,Human
USFS,Prescribed,,0-25,Flat,0-500,,,,,Unknown,N,N,Prescribed
NPS,Campfire,Campfire,0-25,NW,2501-3500,008N,011E,27,Copper River,Black Spruce,N,N,Human
ANCSA,Debris Burning,Open Trash Burn,0-25,NE,501-1500,022N,007E,27,Copper River,Other,N,N,Human
USFWS,False Alarm,,41-55,S,2501-3500,008N,022E,28,Copper River,Unknown,Y,N,False Alarm
Tribal,Lightning,Lightning,0-25,Flat,0-500,005S,030W,12,Kateel River,Tundra,N,N,Natural
State,Lightning,Lightning,0-25,South,0501-1500,002S,020E,29,Kateel River,Mixed Trees,N,N,Natural
Private,False Alarm,,0-25,SW,501-1500,005S,013W,25,Seward,Unknown,Y,N,False Alarm
USFWS,Lightning,Lightning,0-25,Flat,0-500,008S,023E,5,Kateel River,Mixed Trees,N,N,Natural
BIA,Human,Human,0-25,Flat,1501-2500,002S,002E,8,Copper River,Black Spruce,N,N,?
Private,Miscellaneous,Other,0-25,SW,0-500,017N,002W,22,Seward,Mixed (Hardwoods/Softwoods),N,N,Human
Private,Debris Burning,Slash Burn,0-25,E,1501-2500,018N,013E,20,Copper River,Unknown,N,N,Human
Private,Campfire,Campfire,0-25,Flat,0-500,006S,013W,26,Seward,Other,N,N,Human
Private,Debris Burning,Slash Burn,0-25,NW,501-1500,002S,002E,3,Copper River,Black Spruce,N,N,Human
State,False Alarm,,0-25,W,501-1500,020N,009E,7,Copper River,Unknown,Y,N,False Alarm
State,False Alarm,,Unknown,Unknown,Unknown,002N,004W,34,Fairbanks,Unknown,Y,N,False Alarm
USFWS,Human,Lightning,0-25,Flat,0501-1500,012N,010E,29,Kateel River,Black Spruce,N,N,?
ANCSA,Lightning,Lightning,0-25,N,1501-2500,015N,016E,18,Copper River,Live White Spruce,N,N,Natural
Private,Debris Burning,Open Trash Burn,0-25,NE,0-500,007N,012W,23,Seward,Other,N,N,Human
Private,Campfire,Campfire,0-25,NE,501-1500,005S,014E,17,Copper River,Black Spruce,N,N,Human
Private,Debris Burning,Open Trash Burn,0-25,NE,0-500,018N,001W,26,Seward,Grass,N,N,Human
County,Miscellaneous,Other,0-25,Flat,0-500,005N,011W,36,Seward,Grass,N,N,Human
State,Lightning,Lightning,0-25,E,501-1500,011N,055W,20,Seward,Black Spruce,N,N,Natural
ANCSA,Campfire,Campfire,0-25,W,0-500,005S,005E,14,Copper River,Grass,N,N,Human
ANCSA,Lightning,Lightning,0-25,SW,501-1500,023N,048W,4,Seward,Black Spruce,N,N,Natural
ANCSA,Campfire,Campfire,0-25,Flat,501-1500,003N,001W,36,Copper River,Grass,N,N,Human
NPS,Lightning,Lightning,0-25,Flat,0501-1500,017S,023W,17,Fairbanks,Black Spruce,N,N,Natural
Private,Debris Burning,Land Clearing,0-25,SW,0-500,001S,003W,25,Fairbanks,Mixed (Hardwoods/Softwoods),N,N,Human
Private,Debris Burning,Open Trash Burn,0-25,Flat,0-500,005N,010W,30,Seward,Other,N,N,Human
BLM,Lightning,Lightning,0-25,Flat,0501-1500,002S,004E,3,Kateel River,Tundra,N,N,Natural
BLM,Lightning,Lightning,0-25,North,0501-1500,011N,006E,23,Kateel River,Tundra,N,N,Natural
State,False Alarm,,0-25,N,501-1500,004N,002E,30,Fairbanks,Other,Y,N,False Alarm
BLM,Lightning,Lightning,0-25,SE,1501-2500,025N,012E,34,Copper River,Unknown,N,N,Natural
Private,Debris Burning,Slash Burn,0-25,Flat,0-500,006N,012W,26,Seward,Other,N,N,Human
State,Lightning,Lightning,0-25,E,501-1500,030N,039W,25,Seward,Black Spruce,N,N,Natural
Private,Campfire,Campfire,0-25,N,501-1500,019N,003E,36,Seward,Other,N,N,Human
State,False Alarm,,Unknown,Unknown,Unknown,009S,013E,10,Fairbanks,Unknown,Y,N,False Alarm
ANCSA,Campfire,Campfire,0-25,E,501-1500,004N,001W,9,Copper River,Black Spruce,N,N,Human
NPS,False Alarm,False Alarm,0-25,South East,1501-2500,027N,008W,10,Kateel River,Tundra,Y,N,False Alarm
BLM,Lightning,Lightning,0-25,NE,1501-2500,024N,012E,16,Copper River,Other,N,N,Natural
State,Lightning,Lightning,0-25,South West,0501-1500,029N,022W,15,Kateel River,Tundra,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,008N,022W,9,Fairbanks,Tundra,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,008N,019E,5,Kateel River,Black Spruce,N,N,Natural
BLM,False Alarm,False Alarm,0-25,South,0501-1500,032N,025W,17,Kateel River,Unknown,Y,N,False Alarm
State,Lightning,Lightning,41-55,NE,2501-3500,016N,005E,22,Seward,Grass,N,N,Natural
ANCSA,Lightning,Lightning,0-25,E,501-1500,004N,001W,4,Copper River,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0-500,017N,002W,22,Kateel River,Brush,N,N,Natural
State,False Alarm,,0-25,E,501-1500,002N,007E,36,Fairbanks,Unknown,Y,N,False Alarm
NPS,Lightning,Lightning,0-25,Flat,0-500,020N,003W,3,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,26-40,N,1501-2500,012S,016E,26,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0-500,001S,019W,17,Fairbanks,Black Spruce,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0-500,001S,032W,24,Kateel River,Unknown,N,N,Natural
State,False Alarm,,41-55,W,501-1500,003S,007W,21,Fairbanks,Unknown,Y,N,False Alarm
NPS,Lightning,Lightning,0-25,Flat,0501-1500,011S,017W,36,Fairbanks,Black Spruce,N,N,Natural
Tribal,False Alarm,False Alarm,0-25,Flat,0-500,023N,079W,10,Seward,Unknown,Y,N,False Alarm
Private,Debris Burning,Other,0-25,N,0-500,018N,002E,28,Seward,Black Spruce,N,N,Human
Private,Debris Burning,Slash Burn,0-25,Flat,0-500,005N,009W,15,Seward,Other,N,N,Human
City,Lightning,Lightning,0-25,Flat,0-500,038S,064E,7,Copper River,Black Spruce,N,N,Natural
ANCSA,Miscellaneous,Powerline,0-25,S,501-1500,002N,001E,18,Copper River,Black Spruce,N,N,Human
Private,Debris Burning,Slash Burn,0-25,NW,1501-2500,018N,013E,19,Copper River,Black Spruce,N,N,Human
State,Lightning,Lightning,0-25,Flat,0-500,013S,012E,14,Kateel River,Black Spruce,N,N,Natural
Private,Campfire,Campfire,0-25,NW,0-500,005N,008W,7,Seward,Other,N,N,Human
Private,Debris Burning,Slash Burn,0-25,Flat,501-1500,005S,012W,14,Seward,Other,N,N,Human
State,Lightning,Lightning,0-25,Flat,0-500,014S,010E,19,Kateel River,Black Spruce,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0-500,008N,020E,3,Kateel River,Black Spruce,N,N,Natural
ANCSA,Human,Human,0-25,W,0-500,015N,002W,36,Seward,Grass,N,N,?
Private,Miscellaneous,Structure,26-40,W,0-500,015N,001W,31,Seward,Grass,N,N,Human
NPS,Lightning,Lightning,0-25,Flat,0-500,005N,025W,17,Kateel River,Black Spruce,N,N,Natural
County,Campfire,Campfire,0-25,SE,0-500,017N,002E,36,Seward,Grass,N,N,Human
ANCSA,Campfire,Campfire,0-25,NW,0-500,002N,011W,22,Seward,Other,N,N,Human
BLM,Lightning,Lightning,26-40,E,501-1500,025N,051W,29,Seward,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0-500,001S,029W,12,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,26-40,S,2501-3500,026N,005E,3,Copper River,Black Spruce,N,N,Natural
State,Under Investigation,Under Investigation,0-25,NW,501-1500,004N,001E,18,Seward,Unknown,N,N,Human
ANCSA,Smoking,Smoking,0-25,Flat,501-1500,002N,001W,14,Copper River,Mixed (Hardwoods/Softwoods),N,N,Human
State,False Alarm,,41-55,W,501-1500,005S,005E,16,Fairbanks,Unknown,Y,N,False Alarm
ANCSA,Lightning,Lightning,0-25,E,501-1500,023N,006E,11,Copper River,Black Spruce,N,N,Natural
State,False Alarm,,0-25,W,1501-2500,018N,013E,27,Copper River,Unknown,Y,N,False Alarm
Private,Miscellaneous,Powerline,26-40,NE,501-1500,001N,001W,15,Fairbanks,Hardwoods,N,N,Human
ANCSA,False Alarm,,0-25,N,2501-3500,015N,013E,8,Copper River,Unknown,Y,N,False Alarm
NPS,Lightning,Lightning,0-25,Flat,0-500,025N,017W,23,Kateel River,Black Spruce,N,N,Natural
Private,Human,Human,0-25,S,1501-2500,018N,012E,26,Copper River,Black Spruce,N,N,?
USFWS,Lightning,Lightning,0-25,Flat,0-500,022S,006E,10,Kateel River,Black Spruce,N,N,Natural
State,Campfire,Campfire,0-25,W,0-500,001S,002W,12,Fairbanks,Grass,N,N,Human
Private,Miscellaneous,Powerline,0-25,N,501-1500,002N,001W,33,Fairbanks,Black Spruce,N,N,Human
Private,Miscellaneous,Powerline,0-25,NW,0-500,002S,002E,10,Fairbanks,Mixed (Hardwoods/Softwoods),N,N,Human
BLM,Lightning,Lightning,0-25,North West,0501-1500,011N,012W,10,Fairbanks,White Spruce,N,N,Natural
Private,Debris Burning,Slash Burn,0-25,Flat,0-500,005N,010W,17,Seward,Other,N,N,Human
State,Lightning,Lightning,0-25,Flat,0501-1500,010S,032W,34,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,N,0-500,015N,007W,17,Seward,Mixed (Hardwoods/Softwoods),N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,010N,011E,13,Kateel River,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0-500,013N,005E,33,Kateel River,Black Spruce,N,N,Natural
NPS,Lightning,Lightning,0-25,Flat,0501-1500,015N,017E,1,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,West,0501-1500,002S,019W,6,Fairbanks,White Spruce,N,N,Natural
County,Debris Burning,Open Trash Burn,0-25,N,0-500,017N,002E,36,Seward,Other,N,N,Human
Private,Debris Burning,Slash Burn,0-25,Flat,0-500,005N,009W,4,Seward,Other,N,N,Human
Private,Debris Burning,Land Clearing,0-25,NE,0-500,017N,002W,11,Seward,Mixed (Hardwoods/Softwoods),N,N,Human
ANCSA,False Alarm,,0-25,W,501-1500,006S,005W,27,Fairbanks,Unknown,Y,N,False Alarm
State,Lightning,Lightning,0-25,SE,501-1500,026S,023E,14,Kateel River,Mixed (Hardwoods/Softwoods),N,N,Natural
NPS,Lightning,Lightning,0-25,Flat,1501-2500,005N,025E,16,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,NE,501-1500,003N,052W,36,Seward,Other,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,501-1500,018N,046W,33,Seward,Black Spruce,N,N,Natural
State,Lightning,Lightning,41-55,SW,501-1500,028N,035W,10,Seward,Mixed (Hardwoods/Softwoods),N,N,Natural
State,Miscellaneous,Powerline,41-55,S,1501-2500,020N,008E,19,Seward,Other,N,N,Human
USFWS,Lightning,Lightning,0-25,Flat,0501-1500,017S,022E,25,Kateel River,Black Spruce,N,N,Natural
USFS,Human,Human,0-25,SW,0-500,004N,002W,33,Seward,Unknown,N,N,?
Tribal,Lightning,Lightning,0-25,Flat,2501-3500,001N,027E,12,Fairbanks,Black Spruce,N,N,Natural
State,F/A,F/A,0-25,SE,1501-2500,002N,007W,3,Copper River,Unknown,Y,N,False Alarm
ANCSA,Lightning,Lightning,0-25,E,501-1500,023S,029E,18,Kateel River,Black Spruce,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0501-1500,023S,029E,21,Kateel River,Black Spruce,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0501-1500,024S,029E,17,Kateel River,Black Spruce,N,N,Natural
Private,Human,Human,0-25,SE,0-500,020N,005W,24,Seward,Grass,N,N,?
State,Lightning,Lightning,0-25,E,501-1500,014N,046W,26,Seward,Black Spruce,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0-500,016N,011W,1,Kateel River,Black Spruce,N,N,Natural
ANCSA,Lightning,Lightning,26-40,SW,1501-2500,012N,018E,26,Copper River,Unknown,N,N,Natural
Private,False Alarm,,0-25,E,0-500,017N,002E,26,Seward,Unknown,Y,N,False Alarm
State,Lightning,Lightning,0-25,S,0-500,007S,053W,19,Seward,Mixed (Hardwoods/Softwoods),N,N,Natural
BLM,Smoking,Smoking,41-55,SE,1501-2500,005S,002E,6,Copper River,Other,N,N,Human
State,Lightning,Lightning,0-25,Flat,0-500,013S,012E,22,Kateel River,Black Spruce,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0-500,019N,009E,33,Fairbanks,Black Spruce,N,N,Natural
Private,Campfire,Campfire,0-25,Flat,0-500,006S,013W,11,Seward,Other,N,N,Human
DOD,False Alarm,False Alarm,0-25,Flat,0501-1500,004S,002E,27,Fairbanks,Black Spruce,Y,N,False Alarm
State,Lightning,Lightning,0-25,Flat,0501-1500,001S,021E,11,Kateel River,Black Spruce,N,N,Natural
USFWS,Campfire,Campfire,0-25,S,0-500,006S,013W,19,Seward,Other,N,N,Human
State,Campfire,Campfire,26-40,NE,1501-2500,016N,003E,21,Seward,Grass,N,N,Human
State,Lightning,Lightning,0-25,Flat,0501-1500,005S,019W,14,Fairbanks,Black Spruce,N,N,Natural
NPS,Lightning,Lightning,0-25,Flat,0501-1500,015S,024W,1,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,E,0-500,025S,026E,10,Kateel River,Other,N,N,Natural
State,Lightning,Lightning,26-40,NE,1501-2500,028S,031E,18,Kateel River,Black Spruce,N,N,Natural
Private,Miscellaneous,Powerline,0-25,SE,0-500,017N,002E,26,Seward,Grass,N,N,Human
Tribal,Lightning,Lightning,0-25,Flat,0-500,003N,007W,17,Fairbanks,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0501-1500,008S,027E,4,Kateel River,Black Spruce,N,N,Natural
BLM,Incendiary,Incendiary,26-40,E,1501-2500,010N,023E,25,Copper River,Unknown,N,N,Human
State,Lightning,Lightning,41-55,W,2501-3500,018N,023E,32,Copper River,Unknown,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,010N,022E,18,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0-500,013S,012E,35,Kateel River,Grass,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,1501-2500,026N,030E,12,Fairbanks,Black Spruce,N,N,Natural
BIA,Campfire,Campfire,0-25,N,0-500,008N,069W,17,Seward,Other,N,N,Human
State,Human,Campfire,0-25,Flat,0-500,039S,064E,16,Copper River,Grass,N,N,Human
State,Lightning,Lightning,0-25,Flat,0501-1500,021S,030E,35,Kateel River,Black Spruce,N,N,Natural
BLM,Lightning,Lightning,0-25,East,1501-2500,018S,027E,36,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,S,501-1500,031N,023W,22,Seward,Black Spruce,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0-500,017N,056W,7,Seward,Black Spruce,N,N,Natural
State,False Alarm,False Alarm,0-25,Flat,0501-1500,005S,019W,35,Fairbanks,Black Spruce,Y,N,False Alarm
State,Lightning,Lightning,0-25,E,501-1500,007N,042W,1,Seward,Mixed (Hardwoods/Softwoods),N,N,Natural
BLM,Lightning,Lightning,0-25,SE,0-500,015S,049W,2,Seward,Other,N,N,Natural
Private,Campfire,Campfire,0-25,S,0-500,013N,003W,20,Seward,Grass,N,N,Human
Private,Under Investigation,Under Investigation,Unknown,Unknown,Unknown,005N,003W,36,Seward,Grass,N,N,Human
USFS,Human,Campfire,0-25,Flat,0-500,038S,064E,28,Copper River,Grass,N,N,Human
Private,Campfire,Campfire,0-25,Flat,0-500,006N,011W,32,Seward,Dead White Spruce,N,N,Human
Private,Children,Children,26-40,S,0-500,017N,002E,26,Seward,Grass,N,N,Human
Tribal,Lightning,Lightning,0-25,Flat,1501-2500,032N,009W,11,Fairbanks,Black Spruce,N,N,Natural
ANCSA,Campfire,Campfire,0-25,Flat,0-500,004S,006E,18,Copper River,Black Spruce,N,N,Human
USFWS,Lightning,Lightning,0-25,Flat,0-500,007S,010E,20,Kateel River,Black Spruce,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,1501-2500,026N,010W,34,Fairbanks,Black Spruce,N,N,Natural
Tribal,Lightning,Lightning,0-25,South East,0501-1500,007S,019E,7,Kateel River,Mixed Trees,N,N,Natural
State,Lightning,Lightning,0-25,East,1501-2500,006N,003W,27,Fairbanks,Black Spruce,N,N,Natural
Private,False Alarm,,Unknown,Unknown,Unknown,002N,012W,11,Seward,Unknown,Y,N,False Alarm
ANCSA,Human,Human,0-25,SW,0-500,033N,033W,17,Seward,Other,N,N,?
ANCSA,Lightning,Lightning,0-25,SE,0-500,033N,033W,30,Seward,Black Spruce,N,N,Natural
City,Human,Human,0-25,Flat,0-500,037S,063E,25,Copper River,Black Spruce,N,N,Human
ANCSA,Lightning,Lightning,41-55,NW,501-1500,012S,064W,30,Seward,Other,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0-500,013S,003E,13,Kateel River,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,N,0-500,012N,079W,35,Seward,Grass,N,N,Natural
Tribal,Lightning,Lightning,0-25,Flat,0-500,013S,003E,13,Kateel River,Black Spruce,N,N,Natural
USFWS,False Alarm,,0-25,W,1501-2500,013N,018E,23,Copper River,Unknown,Y,N,False Alarm
USFWS,Lightning,Lightning,0-25,North East,0501-1500,005S,027W,31,Fairbanks,Black Spruce,N,N,Natural
BLM,Lightning,Lightning,0-25,South East,0501-1500,015S,029E,15,Kateel River,Black Spruce,N,N,Natural
DOD,Lightning,Lightning,0-25,Flat,0501-1500,003S,002E,31,Fairbanks,Black Spruce,N,N,Natural
Private,Smoking,Smoking,0-25,SE,0-500,017N,002E,26,Seward,Grass,N,N,Human
Private,Lightning,Lightning,0-25,S,501-1500,023N,029W,27,Seward,Black Spruce,N,N,Natural
Private,Debris Burning,Burn Barrels,26-40,N,0-500,016N,002E,9,Seward,Grass,N,N,Human
State,Lightning,Lightning,0-25,S,0-500,026S,019E,2,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0501-1500,012S,025W,35,Fairbanks,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,Flat,0-500,021S,005E,10,Kateel River,Other,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0-500,017S,015E,33,Kateel River,Black Spruce,N,N,Natural
Private,False Alarm,,Unknown,Unknown,Unknown,001S,002E,18,Fairbanks,Unknown,Y,N,False Alarm
DOD,Lightning,Lightning,0-25,Flat,0501-1500,012S,011E,12,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0501-1500,015S,028W,24,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,W,501-1500,022S,026E,24,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,S,501-1500,032N,022W,28,Seward,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,W,501-1500,027S,011E,25,Kateel River,Black Spruce,N,N,Natural
BLM,Campfire,Campfire,0-25,Flat,0-500,016N,003E,9,Seward,Mixed (Hardwoods/Softwoods),N,N,Human
BLM,Lightning,Lightning,0-25,Flat,0501-1500,018S,025E,27,Kateel River,Black Spruce,N,N,Natural
BLM,Lightning,Lightning,0-25,West,0501-1500,019S,022E,22,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0501-1500,020S,027E,32,Kateel River,Black Spruce,N,N,Natural
NPS,False Alarm,False Alarm,0-25,Flat,0501-1500,018S,024W,2,Fairbanks,Black Spruce,Y,N,False Alarm
BLM,Lightning,Lightning,0-25,Flat,0-500,013S,029E,28,Kateel River,Black Spruce,N,N,Natural
BLM,Lightning,Lightning,0-25,Flat,0501-1500,014S,029E,34,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0-500,012S,018E,15,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,Flat,0501-1500,004S,019E,31,Kateel River,Black Spruce,N,N,Natural
State,Lightning,Lightning,0-25,South,0501-1500,002S,020E,29,Kateel River,Unknown,N,N,Natural
State,Lightning,Lightning,0-25,East,0501-1500,002S,020E,31,Kateel River,Black Spruce,N,N,Natural
DOD,False Alarm,False Alarm,0-25,Flat,0501-1500,010S,007E,22,Fairbanks,Unknown,Y,N,False Alarm
NPS,Lightning,Lightning,0-25,Flat,0501-1500,013S,020W,28,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,26-40,E,501-1500,010N,051W,20,Seward,Other,N,N,Natural
NPS,Lightning,Lightning,0-25,Flat,0501-1500,017S,024W,35,Fairbanks,Black Spruce,N,N,Natural
NPS,Lightning,Lightning,0-25,Flat,0501-1500,012S,017W,18,Fairbanks,Unknown,N,N,Natural
USFWS,Miscellaneous,Other,0-25,S,0-500,001N,008W,6,Seward,Grass,N,N,Human
USFWS,Lightning,Lightning,0-25,SW,0-500,014N,081W,35,Seward,Grass,N,N,Natural
County,Children,Children,0-25,W,0-500,006N,011W,33,Seward,Grass,N,N,Human
State,Lightning,Lightning,26-40,East,1501-2500,011N,013W,28,Fairbanks,Black Spruce,N,N,Natural
NPS,Lightning,Lightning,0-25,East,1501-2500,014S,016W,8,Fairbanks,Black Spruce,N,N,Natural
USFWS,Lightning,Lightning,0-25,W,1501-2500,009N,019E,15,Copper River,Mixed (Hardwoods/Softwoods),N,N,Natural
BLM,Human,Human,0-25,Flat,0-500,016N,003E,10,Seward,Mixed (Hardwoods/Softwoods),N,N,?
NPS,Lightning,Lightning,0-25,Flat,0501-1500,013S,023W,9,Fairbanks,Black Spruce,N,N,Natural
State,Lightning,Lightning,26-40,NE,501-1500,026S,015E,24,Kateel River,Mixed (Hardwoods/Softwoods),N,N,Natural
